INSEE_CO;CP;SUPERFICIE;POPULATION;prob;severite;type_evt;survenance;csq;date_bulletin;Heure_d�p�t;date_prevision;Type 
11139;11240;759;89;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09048;09600;972;65;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09142;09300;683;124;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66072;66800;921;413;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11228;11240;858;177;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66147;66760;4987;134;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66062;66760;2516;165;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09115;09600;355;114;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11259;11170;1957;957;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11210;11200;986;1065;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11061;11240;337;270;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11342;11800;638;227;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11429;11620;1271;3710;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
34206;34310;597;560;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11100;11230;877;35;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11353;11120;845;1668;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66005;66760;8719;667;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11307;11200;636;241;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66067;66800;2637;625;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66066;66760;3040;665;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09316;09500;831;94;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11081;11160;2870;1660;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11279;11610;1854;2442;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11135;11140;1579;13;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11012;11120;1094;1934;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
34189;34210;1933;1720;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11312;11270;1054;105;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09088;09250;565;13;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09336;09300;601;1091;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11400;11230;658;103;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66098;66210;2338;243;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09160;09300;1278;6404;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66181;66800;883;147;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09089;09500;470;46;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11315;11160;2193;2016;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66202;66120;789;200;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66124;66120;2992;1839;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09243;09600;218;87;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11437;11170;539;823;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09087;09250;1583;64;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09197;09110;886;35;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
